ResID;Chinese_Simplified;English;Japanese;Korean;German;French;Spanish;greek;Russian;Portuguese;Thai;Italian;Arabic;turkey;persian;Polish;indonersia;hindi;Dutch;vietnam;Hebrew;malay;burmese;Chinese_Traditional
M01;禁止使用会导致编译错误;禁止使用会导致编译错误;起動言語;부팅 언어;Boot-Sprache;Langue de démarrage;Lenguaje de arranque;;Язык запуска;Linguagem de inicialização;ภาษาบูต;Linguaggio di avvio;لغة التشغيل;;;Język rozruchowy;;;Boot taal;;שפת האתחול;;;開機語言
M02;禁止使用会导致编译错误;禁止使用会导致编译错误;简体中文;简体中文;简体中文;简体中文;简体中文;;简体中文;简体中文;简体中文;简体中文;简体中文;;;简体中文;;;简体中文;;简体中文;;;简体中文
M03;English;English;English;English;English;English;English;;English;English;English;English;English;;;English;;;English;;English;;;English
M04;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;;;한국어;;한국어;;;한국어
M05;Français;Français;Français;Français;Français;Français;Français;;Français;Français;Français;Français;Français;;;Français;;;Français;;Français;;;Français
M06;Español;Español;Español;Español;Español;Español;Español;Español;Español;Español;Español;Español;Español;Español;Español;Español;;;日本語;;日本語;;;日本語
M07;;;;;;;;;;;;;;;;;;;;;;;;
M08;;;;;;;;;;;;;;;;;;;;;;;;
M09;;;;;;;;;;;;;;;;;;;;;;;;
M10;;;;;;;;;;;;;;;;;;;;;;;;
M11;;;;;;;;;;;;;;;;;;;;;;;;
M12;;;;;;;;;;;;;;;;;;;;;;;;
M13;;;;;;;;;;;;;;;;;;;;;;;;
M14;;;;;;;;;;;;;;;;;;;;;;;;
M15;;;;;;;;;;;;;;;;;;;;;;;;
M16;;;;;;;;;;;;;;;;;;;;;;;;
M17;;;;;;;;;;;;;;;;;;;;;;;;
M18;;;;;;;;;;;;;;;;;;;;;;;;
M19;;;;;;;;;;;;;;;;;;;;;;;;
M20;;;;;;;;;;;;;;;;;;;;;;;;
M21;;;;;;;;;;;;;;;;;;;;;;;;
M22;;;;;;;;;;;;;;;;;;;;;;;;
M23;;;;;;;;;;;;;;;;;;;;;;;;
M24;;;;;;;;;;;;;;;;;;;;;;;;
M25;;;;;;;;;;;;;;;;;;;;;;;;
M26;;;;;;;;;;;;;;;;;;;;;;;;
M27;更多功能;More features;その他の機能;더 많은 기능;Weitere Funktionen;Plus de fonctionnalités;Más funciones;;Больше функций;Mais funções;คุณสมบัติอื่นๆ;Altre caratteristiche;المزيد من الميزات;;;Więcej funkcji;;;Meer functies;;תכונות נוספות;;;更多功能
M28;特效切换;Special Effect Switch;特殊効果の切り替え;특수 효과 스위치;Schalter für Spezial effekte;Bascule d'effets spéciaux;Cambio de efectos especiales;;Переключение спецэффектов;Alternar efeitos especiais;การสลับเอฟเฟกต์พิเศษ;Interruttore effetto speciale;تبديل المؤثرات الخاصة;;;Przełącznik efektu specjalnego;;;Speciaal effectschakelaar;;מתג אפקט מיוחד;;;特效切換
M29;是否将该语言设置为默认语言？;Do you want to set this language as the default language?;その言語をデフォルト言語に設定しますか?;이 언어를 기본 언어로 설정하시겠습니까?;Ist die Sprache als Standardsp rache festgelegt?;La langue est-elle définie comme langue par défaut?;¿El idioma está configurado como predeterminado?;;Установите ли этот язык в качестве языка по умолчанию?;O idioma está definido como o idioma padrão?;คุณตั้งค่าภาษาเป็นภาษาเริ่มต้นหรือไม่?;Vuoi impostare questa lingua come lingua predefinita?;هل تم تعيين اللغة كلغة افتراضية ؟;;;Czy chcesz ustawić ten język jako język domyślny?;;;Wilt u deze taal als standaardtaal instellen?;;האם ברצונך להגדיר שפה זו כשפת ברירת המחדל?;;;是否將該語言設置為默認語言?
M30;设置;Setup;設定;설정;Einstellungen;Paramètres;Configuración;;Настройка;Configurações;การตั้งค่า;Setup;الإعدادات;;;Konfiguracja;;;Opstelling;;התקנה;;;設置
M31;通用;4.000000;2.000000;3.000000;6.000000;5.000000;10.000000;;15.000000;9.000000;18.000000;7.000000;21.000000;;;14.000000;;;8.000000;;17.000000;;;1.000000
M32;时间设置;4.000000;2.000000;3.000000;6.000000;5.000000;10.000000;;15.000000;9.000000;18.000000;7.000000;21.000000;;;14.000000;;;8.000000;;17.000000;;;1.000000
M33;显示与亮度;Display and Brightness;表示と明るさ;디스플레이 및 밝기;Anzeige und Helligkeit;Affichage et luminosité;Pantalla y brillo;;Отображение и яркость;Exibição e brilho;จอแสดงผลและความสว่าง;Display e luminosità;العرض مع السطوع;;;Wyświetlacz i jasność;;;Weergave en helderheid;;תצוגה והבהירות;;;顯示與亮度
